"vaccine_uptake","v1_transmission_effectiveness","v2_transmission_effectiveness","strategy","relax_triggers","day","new_cases"
90,75,90,"Loose Suppression","Yes",1,17
60,90,90,"Loose Suppression","Yes",1,18
75,90,90,"Loose Suppression","Yes",1,18
90,90,90,"Loose Suppression","Yes",1,14
60,50,50,"Aggressive Elimination","No",1,20
75,50,50,"Aggressive Elimination","No",1,21
90,50,50,"Aggressive Elimination","No",1,23
60,75,50,"Aggressive Elimination","No",1,19
75,75,50,"Aggressive Elimination","No",1,15
90,75,50,"Aggressive Elimination","No",1,14
60,90,50,"Aggressive Elimination","No",1,10
75,90,50,"Aggressive Elimination","No",1,10
90,90,50,"Aggressive Elimination","No",1,13
60,50,75,"Aggressive Elimination","No",1,7
75,50,75,"Aggressive Elimination","No",1,7
90,50,75,"Aggressive Elimination","No",1,10
60,75,75,"Aggressive Elimination","No",1,13
75,75,75,"Aggressive Elimination","No",1,16
90,75,75,"Aggressive Elimination","No",1,22
60,90,75,"Aggressive Elimination","No",1,21
75,90,75,"Aggressive Elimination","No",1,15
90,90,75,"Aggressive Elimination","No",1,14
60,50,90,"Aggressive Elimination","No",1,9
75,50,90,"Aggressive Elimination","No",1,13
90,50,90,"Aggressive Elimination","No",1,14
60,75,90,"Aggressive Elimination","No",1,17
75,75,90,"Aggressive Elimination","No",1,18
90,75,90,"Aggressive Elimination","No",1,17
60,90,90,"Aggressive Elimination","No",1,19
75,90,90,"Aggressive Elimination","No",1,21
90,90,90,"Aggressive Elimination","No",1,22
60,50,50,"Moderate Elimination","No",1,19
75,50,50,"Moderate Elimination","No",1,14
90,50,50,"Moderate Elimination","No",1,12
60,75,50,"Moderate Elimination","No",1,6
75,75,50,"Moderate Elimination","No",1,14
90,75,50,"Moderate Elimination","No",1,13
60,90,50,"Moderate Elimination","No",1,13
75,90,50,"Moderate Elimination","No",1,17
90,90,50,"Moderate Elimination","No",1,15
60,50,75,"Moderate Elimination","No",1,5
75,50,75,"Moderate Elimination","No",1,10
90,50,75,"Moderate Elimination","No",1,13
60,75,75,"Moderate Elimination","No",1,13
75,75,75,"Moderate Elimination","No",1,11
90,75,75,"Moderate Elimination","No",1,12
60,90,75,"Moderate Elimination","No",1,12
75,90,75,"Moderate Elimination","No",1,11
90,90,75,"Moderate Elimination","No",1,12
60,50,90,"Moderate Elimination","No",1,11
75,50,90,"Moderate Elimination","No",1,13
90,50,90,"Moderate Elimination","No",1,20
60,75,90,"Moderate Elimination","No",1,19
75,75,90,"Moderate Elimination","No",1,23
90,75,90,"Moderate Elimination","No",1,26
60,90,90,"Moderate Elimination","No",1,30
75,90,90,"Moderate Elimination","No",1,32
90,90,90,"Moderate Elimination","No",1,33
60,50,50,"Tight Suppression","No",1,34
75,50,50,"Tight Suppression","No",1,33
90,50,50,"Tight Suppression","No",1,42
60,75,50,"Tight Suppression","No",1,39
75,75,50,"Tight Suppression","No",1,37
90,75,50,"Tight Suppression","No",1,36
60,90,50,"Tight Suppression","No",1,38
75,90,50,"Tight Suppression","No",1,35
90,90,50,"Tight Suppression","No",1,37
60,50,75,"Tight Suppression","No",1,36
75,50,75,"Tight Suppression","No",1,43
90,50,75,"Tight Suppression","No",1,37
60,75,75,"Tight Suppression","No",1,29
75,75,75,"Tight Suppression","No",1,42
90,75,75,"Tight Suppression","No",1,42
60,90,75,"Tight Suppression","No",1,41
75,90,75,"Tight Suppression","No",1,46
90,90,75,"Tight Suppression","No",1,53
60,50,90,"Tight Suppression","No",1,59
75,50,90,"Tight Suppression","No",1,62
90,50,90,"Tight Suppression","No",1,68
60,75,90,"Tight Suppression","No",1,67
75,75,90,"Tight Suppression","No",1,60
90,75,90,"Tight Suppression","No",1,61
60,90,90,"Tight Suppression","No",1,69
75,90,90,"Tight Suppression","No",1,69
90,90,90,"Tight Suppression","No",1,64
60,50,50,"Loose Suppression","No",1,63
75,50,50,"Loose Suppression","No",1,67
90,50,50,"Loose Suppression","No",1,67
60,75,50,"Loose Suppression","No",1,59
75,75,50,"Loose Suppression","No",1,55
90,75,50,"Loose Suppression","No",1,58
60,90,50,"Loose Suppression","No",1,53
75,90,50,"Loose Suppression","No",1,50
90,90,50,"Loose Suppression","No",1,50
60,50,75,"Loose Suppression","No",1,46
75,50,75,"Loose Suppression","No",1,44
90,50,75,"Loose Suppression","No",1,47
60,75,75,"Loose Suppression","No",1,45
75,75,75,"Loose Suppression","No",1,39
90,75,75,"Loose Suppression","No",1,36
60,90,75,"Loose Suppression","No",1,42
75,90,75,"Loose Suppression","No",1,43
90,90,75,"Loose Suppression","No",1,34
60,50,90,"Loose Suppression","No",1,34
75,50,90,"Loose Suppression","No",1,43
90,50,90,"Loose Suppression","No",1,37
60,75,90,"Loose Suppression","No",1,32
75,75,90,"Loose Suppression","No",1,31
90,75,90,"Loose Suppression","No",1,37
60,90,90,"Loose Suppression","No",1,35
75,90,90,"Loose Suppression","No",1,40
90,90,90,"Loose Suppression","No",1,34
60,50,50,"Aggressive Elimination","Yes",2,31
75,50,50,"Aggressive Elimination","Yes",2,25
90,50,50,"Aggressive Elimination","Yes",2,29
60,75,50,"Aggressive Elimination","Yes",2,38
75,75,50,"Aggressive Elimination","Yes",2,36
90,75,50,"Aggressive Elimination","Yes",2,42
60,90,50,"Aggressive Elimination","Yes",2,42
75,90,50,"Aggressive Elimination","Yes",2,36
90,90,50,"Aggressive Elimination","Yes",2,42
60,50,75,"Aggressive Elimination","Yes",2,51
75,50,75,"Aggressive Elimination","Yes",2,47
90,50,75,"Aggressive Elimination","Yes",2,42
60,75,75,"Aggressive Elimination","Yes",2,36
75,75,75,"Aggressive Elimination","Yes",2,36
90,75,75,"Aggressive Elimination","Yes",2,41
60,90,75,"Aggressive Elimination","Yes",2,38
75,90,75,"Aggressive Elimination","Yes",2,32
90,90,75,"Aggressive Elimination","Yes",2,41
60,50,90,"Aggressive Elimination","Yes",2,37
75,50,90,"Aggressive Elimination","Yes",2,29
90,50,90,"Aggressive Elimination","Yes",2,35
60,75,90,"Aggressive Elimination","Yes",2,44
75,75,90,"Aggressive Elimination","Yes",2,47
90,75,90,"Aggressive Elimination","Yes",2,58
60,90,90,"Aggressive Elimination","Yes",2,55
75,90,90,"Aggressive Elimination","Yes",2,54
90,90,90,"Aggressive Elimination","Yes",2,53
60,50,50,"Moderate Elimination","Yes",2,56
75,50,50,"Moderate Elimination","Yes",2,55
90,50,50,"Moderate Elimination","Yes",2,63
60,75,50,"Moderate Elimination","Yes",2,61
75,75,50,"Moderate Elimination","Yes",2,65
90,75,50,"Moderate Elimination","Yes",2,71
60,90,50,"Moderate Elimination","Yes",2,70
75,90,50,"Moderate Elimination","Yes",2,68
90,90,50,"Moderate Elimination","Yes",2,69
60,50,75,"Moderate Elimination","Yes",2,70
75,50,75,"Moderate Elimination","Yes",2,66
90,50,75,"Moderate Elimination","Yes",2,66
60,75,75,"Moderate Elimination","Yes",2,65
75,75,75,"Moderate Elimination","Yes",2,73
90,75,75,"Moderate Elimination","Yes",2,66
60,90,75,"Moderate Elimination","Yes",2,66
75,90,75,"Moderate Elimination","Yes",2,60
90,90,75,"Moderate Elimination","Yes",2,57
60,50,90,"Moderate Elimination","Yes",2,59
75,50,90,"Moderate Elimination","Yes",2,68
90,50,90,"Moderate Elimination","Yes",2,76
60,75,90,"Moderate Elimination","Yes",2,66
75,75,90,"Moderate Elimination","Yes",2,75
90,75,90,"Moderate Elimination","Yes",2,64
60,90,90,"Moderate Elimination","Yes",2,63
75,90,90,"Moderate Elimination","Yes",2,60
90,90,90,"Moderate Elimination","Yes",2,64
60,50,50,"Tight Suppression","Yes",2,59
75,50,50,"Tight Suppression","Yes",2,57
90,50,50,"Tight Suppression","Yes",2,54
60,75,50,"Tight Suppression","Yes",2,56
75,75,50,"Tight Suppression","Yes",2,55
90,75,50,"Tight Suppression","Yes",2,50
60,90,50,"Tight Suppression","Yes",2,56
75,90,50,"Tight Suppression","Yes",2,57
90,90,50,"Tight Suppression","Yes",2,58
60,50,75,"Tight Suppression","Yes",2,53
75,50,75,"Tight Suppression","Yes",2,58
90,50,75,"Tight Suppression","Yes",2,59
60,75,75,"Tight Suppression","Yes",2,63
75,75,75,"Tight Suppression","Yes",2,64
90,75,75,"Tight Suppression","Yes",2,63
60,90,75,"Tight Suppression","Yes",2,65
75,90,75,"Tight Suppression","Yes",2,68
90,90,75,"Tight Suppression","Yes",2,64
60,50,90,"Tight Suppression","Yes",2,65
75,50,90,"Tight Suppression","Yes",2,59
90,50,90,"Tight Suppression","Yes",2,56
60,75,90,"Tight Suppression","Yes",2,60
75,75,90,"Tight Suppression","Yes",2,61
90,75,90,"Tight Suppression","Yes",2,53
60,90,90,"Tight Suppression","Yes",2,57
75,90,90,"Tight Suppression","Yes",2,56
90,90,90,"Tight Suppression","Yes",2,58
60,50,50,"Loose Suppression","Yes",2,64
75,50,50,"Loose Suppression","Yes",2,61
90,50,50,"Loose Suppression","Yes",2,61
60,75,50,"Loose Suppression","Yes",2,68
75,75,50,"Loose Suppression","Yes",2,76
90,75,50,"Loose Suppression","Yes",2,78
60,90,50,"Loose Suppression","Yes",2,76
75,90,50,"Loose Suppression","Yes",2,80
90,90,50,"Loose Suppression","Yes",2,80
60,50,75,"Loose Suppression","Yes",2,81
75,50,75,"Loose Suppression","Yes",2,79
90,50,75,"Loose Suppression","Yes",2,79
60,75,75,"Loose Suppression","Yes",2,89
75,75,75,"Loose Suppression","Yes",2,85
90,75,75,"Loose Suppression","Yes",2,95
60,90,75,"Loose Suppression","Yes",2,108
75,90,75,"Loose Suppression","Yes",2,108
90,90,75,"Loose Suppression","Yes",2,107
60,50,90,"Loose Suppression","Yes",2,111
75,50,90,"Loose Suppression","Yes",2,113
90,50,90,"Loose Suppression","Yes",2,111
60,75,90,"Loose Suppression","Yes",2,117
75,75,90,"Loose Suppression","Yes",2,113
90,75,90,"Loose Suppression","Yes",2,122
60,90,90,"Loose Suppression","Yes",2,114
75,90,90,"Loose Suppression","Yes",2,118
90,90,90,"Loose Suppression","Yes",2,113
60,50,50,"Aggressive Elimination","No",2,112
75,50,50,"Aggressive Elimination","No",2,112
90,50,50,"Aggressive Elimination","No",2,113
60,75,50,"Aggressive Elimination","No",2,118
75,75,50,"Aggressive Elimination","No",2,111
90,75,50,"Aggressive Elimination","No",2,117
60,90,50,"Aggressive Elimination","No",2,116
75,90,50,"Aggressive Elimination","No",2,109
90,90,50,"Aggressive Elimination","No",2,113
60,50,75,"Aggressive Elimination","No",2,108
75,50,75,"Aggressive Elimination","No",2,115
90,50,75,"Aggressive Elimination","No",2,112
60,75,75,"Aggressive Elimination","No",2,109
75,75,75,"Aggressive Elimination","No",2,112
90,75,75,"Aggressive Elimination","No",2,113
60,90,75,"Aggressive Elimination","No",2,106
75,90,75,"Aggressive Elimination","No",2,111
90,90,75,"Aggressive Elimination","No",2,107
60,50,90,"Aggressive Elimination","No",2,108
75,50,90,"Aggressive Elimination","No",2,112
90,50,90,"Aggressive Elimination","No",2,108
60,75,90,"Aggressive Elimination","No",2,113
75,75,90,"Aggressive Elimination","No",2,126
90,75,90,"Aggressive Elimination","No",2,126
60,90,90,"Aggressive Elimination","No",2,123
75,90,90,"Aggressive Elimination","No",2,124
90,90,90,"Aggressive Elimination","No",2,130
60,50,50,"Moderate Elimination","No",2,131
75,50,50,"Moderate Elimination","No",2,125
90,50,50,"Moderate Elimination","No",2,134
60,75,50,"Moderate Elimination","No",2,133
75,75,50,"Moderate Elimination","No",2,125
90,75,50,"Moderate Elimination","No",2,128
60,90,50,"Moderate Elimination","No",2,133
75,90,50,"Moderate Elimination","No",2,135
90,90,50,"Moderate Elimination","No",2,140
60,50,75,"Moderate Elimination","No",2,139
75,50,75,"Moderate Elimination","No",2,137
90,50,75,"Moderate Elimination","No",2,135
60,75,75,"Moderate Elimination","No",2,139
75,75,75,"Moderate Elimination","No",2,133
90,75,75,"Moderate Elimination","No",2,139
60,90,75,"Moderate Elimination","No",2,141
75,90,75,"Moderate Elimination","No",2,142
90,90,75,"Moderate Elimination","No",2,146
60,50,90,"Moderate Elimination","No",2,141
75,50,90,"Moderate Elimination","No",2,144
90,50,90,"Moderate Elimination","No",2,144
60,75,90,"Moderate Elimination","No",2,144
75,75,90,"Moderate Elimination","No",2,142
90,75,90,"Moderate Elimination","No",2,137
60,90,90,"Moderate Elimination","No",2,140
75,90,90,"Moderate Elimination","No",2,139
90,90,90,"Moderate Elimination","No",2,136
60,50,50,"Tight Suppression","No",2,132
75,50,50,"Tight Suppression","No",2,137
90,50,50,"Tight Suppression","No",2,138
60,75,50,"Tight Suppression","No",2,137
75,75,50,"Tight Suppression","No",2,134
90,75,50,"Tight Suppression","No",2,144
60,90,50,"Tight Suppression","No",2,140
75,90,50,"Tight Suppression","No",2,141
90,90,50,"Tight Suppression","No",2,139
60,50,75,"Tight Suppression","No",2,145
75,50,75,"Tight Suppression","No",2,144
90,50,75,"Tight Suppression","No",2,147
60,75,75,"Tight Suppression","No",2,148
75,75,75,"Tight Suppression","No",2,148
90,75,75,"Tight Suppression","No",2,145
60,90,75,"Tight Suppression","No",2,144
75,90,75,"Tight Suppression","No",2,144
90,90,75,"Tight Suppression","No",2,148
60,50,90,"Tight Suppression","No",2,145
75,50,90,"Tight Suppression","No",2,146
90,50,90,"Tight Suppression","No",2,147
60,75,90,"Tight Suppression","No",2,147
75,75,90,"Tight Suppression","No",2,148
90,75,90,"Tight Suppression","No",2,144
60,90,90,"Tight Suppression","No",2,140
75,90,90,"Tight Suppression","No",2,133
90,90,90,"Tight Suppression","No",2,129
60,50,50,"Loose Suppression","No",2,114
75,50,50,"Loose Suppression","No",2,120
90,50,50,"Loose Suppression","No",2,117
60,75,50,"Loose Suppression","No",2,117
75,75,50,"Loose Suppression","No",2,120
90,75,50,"Loose Suppression","No",2,117
60,90,50,"Loose Suppression","No",2,114
75,90,50,"Loose Suppression","No",2,108
90,90,50,"Loose Suppression","No",2,99
60,50,75,"Loose Suppression","No",2,97
75,50,75,"Loose Suppression","No",2,96
90,50,75,"Loose Suppression","No",2,93
60,75,75,"Loose Suppression","No",2,90
75,75,75,"Loose Suppression","No",2,80
90,75,75,"Loose Suppression","No",2,78
60,90,75,"Loose Suppression","No",2,85
75,90,75,"Loose Suppression","No",2,85
90,90,75,"Loose Suppression","No",2,80
60,50,90,"Loose Suppression","No",2,79
75,50,90,"Loose Suppression","No",2,79
90,50,90,"Loose Suppression","No",2,81
60,75,90,"Loose Suppression","No",2,84
75,75,90,"Loose Suppression","No",2,81
90,75,90,"Loose Suppression","No",2,88
60,90,90,"Loose Suppression","No",2,85
75,90,90,"Loose Suppression","No",2,91
90,90,90,"Loose Suppression","No",2,92
60,50,50,"Aggressive Elimination","Yes",3,89
75,50,50,"Aggressive Elimination","Yes",3,88
90,50,50,"Aggressive Elimination","Yes",3,89
60,75,50,"Aggressive Elimination","Yes",3,91
75,75,50,"Aggressive Elimination","Yes",3,85
90,75,50,"Aggressive Elimination","Yes",3,87
60,90,50,"Aggressive Elimination","Yes",3,89
75,90,50,"Aggressive Elimination","Yes",3,82
90,90,50,"Aggressive Elimination","Yes",3,76
60,50,75,"Aggressive Elimination","Yes",3,75
75,50,75,"Aggressive Elimination","Yes",3,83
90,50,75,"Aggressive Elimination","Yes",3,82
60,75,75,"Aggressive Elimination","Yes",3,80
75,75,75,"Aggressive Elimination","Yes",3,80
90,75,75,"Aggressive Elimination","Yes",3,69
60,90,75,"Aggressive Elimination","Yes",3,69
75,90,75,"Aggressive Elimination","Yes",3,66
90,90,75,"Aggressive Elimination","Yes",3,69
60,50,90,"Aggressive Elimination","Yes",3,61
75,50,90,"Aggressive Elimination","Yes",3,61
90,50,90,"Aggressive Elimination","Yes",3,52
60,75,90,"Aggressive Elimination","Yes",3,49
75,75,90,"Aggressive Elimination","Yes",3,52
90,75,90,"Aggressive Elimination","Yes",3,49
60,90,90,"Aggressive Elimination","Yes",3,56
75,90,90,"Aggressive Elimination","Yes",3,46
90,90,90,"Aggressive Elimination","Yes",3,44
60,50,50,"Moderate Elimination","Yes",3,41
75,50,50,"Moderate Elimination","Yes",3,43
90,50,50,"Moderate Elimination","Yes",3,48
60,75,50,"Moderate Elimination","Yes",3,55
75,75,50,"Moderate Elimination","Yes",3,57
90,75,50,"Moderate Elimination","Yes",3,46
60,90,50,"Moderate Elimination","Yes",3,42
75,90,50,"Moderate Elimination","Yes",3,45
90,90,50,"Moderate Elimination","Yes",3,36
60,50,75,"Moderate Elimination","Yes",3,34
75,50,75,"Moderate Elimination","Yes",3,34
90,50,75,"Moderate Elimination","Yes",3,35
60,75,75,"Moderate Elimination","Yes",3,24
75,75,75,"Moderate Elimination","Yes",3,26
90,75,75,"Moderate Elimination","Yes",3,34
60,90,75,"Moderate Elimination","Yes",3,44
75,90,75,"Moderate Elimination","Yes",3,37
90,90,75,"Moderate Elimination","Yes",3,40
60,50,90,"Moderate Elimination","Yes",3,50
75,50,90,"Moderate Elimination","Yes",3,51
90,50,90,"Moderate Elimination","Yes",3,54
60,75,90,"Moderate Elimination","Yes",3,55
75,75,90,"Moderate Elimination","Yes",3,59
90,75,90,"Moderate Elimination","Yes",3,53
60,90,90,"Moderate Elimination","Yes",3,54
75,90,90,"Moderate Elimination","Yes",3,56
90,90,90,"Moderate Elimination","Yes",3,51
60,50,50,"Tight Suppression","Yes",3,50
75,50,50,"Tight Suppression","Yes",3,43
90,50,50,"Tight Suppression","Yes",3,44
60,75,50,"Tight Suppression","Yes",3,44
75,75,50,"Tight Suppression","Yes",3,39
90,75,50,"Tight Suppression","Yes",3,37
60,90,50,"Tight Suppression","Yes",3,33
75,90,50,"Tight Suppression","Yes",3,34
90,90,50,"Tight Suppression","Yes",3,29
60,50,75,"Tight Suppression","Yes",3,18
75,50,75,"Tight Suppression","Yes",3,12
90,50,75,"Tight Suppression","Yes",3,6
60,75,75,"Tight Suppression","Yes",3,6
75,75,75,"Tight Suppression","Yes",3,5
90,75,75,"Tight Suppression","Yes",3,8
60,90,75,"Tight Suppression","Yes",3,4
75,90,75,"Tight Suppression","Yes",3,14
90,90,75,"Tight Suppression","Yes",3,16
60,50,90,"Tight Suppression","Yes",3,19
75,50,90,"Tight Suppression","Yes",3,28
90,50,90,"Tight Suppression","Yes",3,28
60,75,90,"Tight Suppression","Yes",3,23
75,75,90,"Tight Suppression","Yes",3,22
90,75,90,"Tight Suppression","Yes",3,13
60,90,90,"Tight Suppression","Yes",3,9
75,90,90,"Tight Suppression","Yes",3,12
90,90,90,"Tight Suppression","Yes",3,15
60,50,50,"Loose Suppression","Yes",3,9
75,50,50,"Loose Suppression","Yes",3,5
90,50,50,"Loose Suppression","Yes",3,2
60,75,50,"Loose Suppression","Yes",3,4
75,75,50,"Loose Suppression","Yes",3,5
90,75,50,"Loose Suppression","Yes",3,0
60,90,50,"Loose Suppression","Yes",3,0
75,90,50,"Loose Suppression","Yes",3,6
90,90,50,"Loose Suppression","Yes",3,1
60,50,75,"Loose Suppression","Yes",3,0
75,50,75,"Loose Suppression","Yes",3,1
90,50,75,"Loose Suppression","Yes",3,0
60,75,75,"Loose Suppression","Yes",3,0
75,75,75,"Loose Suppression","Yes",3,0
90,75,75,"Loose Suppression","Yes",3,0
60,90,75,"Loose Suppression","Yes",3,4
75,90,75,"Loose Suppression","Yes",3,0
90,90,75,"Loose Suppression","Yes",3,0
60,50,90,"Loose Suppression","Yes",3,0
75,50,90,"Loose Suppression","Yes",3,0
90,50,90,"Loose Suppression","Yes",3,7
60,75,90,"Loose Suppression","Yes",3,18
75,75,90,"Loose Suppression","Yes",3,24
90,75,90,"Loose Suppression","Yes",3,21
60,90,90,"Loose Suppression","Yes",3,17
75,90,90,"Loose Suppression","Yes",3,21
90,90,90,"Loose Suppression","Yes",3,21
60,50,50,"Aggressive Elimination","No",3,17
75,50,50,"Aggressive Elimination","No",3,21
90,50,50,"Aggressive Elimination","No",3,25
60,75,50,"Aggressive Elimination","No",3,29
75,75,50,"Aggressive Elimination","No",3,29
90,75,50,"Aggressive Elimination","No",3,31
60,90,50,"Aggressive Elimination","No",3,40
75,90,50,"Aggressive Elimination","No",3,46
90,90,50,"Aggressive Elimination","No",3,45
60,50,75,"Aggressive Elimination","No",3,53
75,50,75,"Aggressive Elimination","No",3,58
90,50,75,"Aggressive Elimination","No",3,52
60,75,75,"Aggressive Elimination","No",3,54
75,75,75,"Aggressive Elimination","No",3,59
90,75,75,"Aggressive Elimination","No",3,58
60,90,75,"Aggressive Elimination","No",3,65
75,90,75,"Aggressive Elimination","No",3,75
90,90,75,"Aggressive Elimination","No",3,76
60,50,90,"Aggressive Elimination","No",3,81
75,50,90,"Aggressive Elimination","No",3,81
90,50,90,"Aggressive Elimination","No",3,84
60,75,90,"Aggressive Elimination","No",3,74
75,75,90,"Aggressive Elimination","No",3,69
90,75,90,"Aggressive Elimination","No",3,74
60,90,90,"Aggressive Elimination","No",3,69
75,90,90,"Aggressive Elimination","No",3,64
90,90,90,"Aggressive Elimination","No",3,69
60,50,50,"Moderate Elimination","No",3,63
75,50,50,"Moderate Elimination","No",3,59
90,50,50,"Moderate Elimination","No",3,66
60,75,50,"Moderate Elimination","No",3,66
75,75,50,"Moderate Elimination","No",3,58
90,75,50,"Moderate Elimination","No",3,58
60,90,50,"Moderate Elimination","No",3,51
75,90,50,"Moderate Elimination","No",3,52
90,90,50,"Moderate Elimination","No",3,61
60,50,75,"Moderate Elimination","No",3,57
75,50,75,"Moderate Elimination","No",3,52
90,50,75,"Moderate Elimination","No",3,49
60,75,75,"Moderate Elimination","No",3,61
75,75,75,"Moderate Elimination","No",3,64
90,75,75,"Moderate Elimination","No",3,63
60,90,75,"Moderate Elimination","No",3,61
75,90,75,"Moderate Elimination","No",3,62
90,90,75,"Moderate Elimination","No",3,60
60,50,90,"Moderate Elimination","No",3,60
75,50,90,"Moderate Elimination","No",3,56
90,50,90,"Moderate Elimination","No",3,43
60,75,90,"Moderate Elimination","No",3,39
75,75,90,"Moderate Elimination","No",3,40
90,75,90,"Moderate Elimination","No",3,42
60,90,90,"Moderate Elimination","No",3,47
75,90,90,"Moderate Elimination","No",3,49
90,90,90,"Moderate Elimination","No",3,44
60,50,50,"Tight Suppression","No",3,41
75,50,50,"Tight Suppression","No",3,41
90,50,50,"Tight Suppression","No",3,48
60,75,50,"Tight Suppression","No",3,48
75,75,50,"Tight Suppression","No",3,48
90,75,50,"Tight Suppression","No",3,47
60,90,50,"Tight Suppression","No",3,43
75,90,50,"Tight Suppression","No",3,37
90,90,50,"Tight Suppression","No",3,40
60,50,75,"Tight Suppression","No",3,42
75,50,75,"Tight Suppression","No",3,42
90,50,75,"Tight Suppression","No",3,50
60,75,75,"Tight Suppression","No",3,48
