"v1trans","v2trans","vUptake","strategy","relax","effect","HALY"
75,90,75,"Moderate Elimination","Yes","COVID-19",-365.063926624134
90,90,75,"Moderate Elimination","Yes","COVID-19",-784.941720729694
50,50,90,"Moderate Elimination","Yes","COVID-19",-478.360871504992
75,50,90,"Moderate Elimination","Yes","COVID-19",-309.82041307725
90,50,90,"Moderate Elimination","Yes","COVID-19",110.937714390457
50,75,90,"Moderate Elimination","Yes","COVID-19",57.9685485456138
75,75,90,"Moderate Elimination","Yes","COVID-19",-604.10333443433
90,75,90,"Moderate Elimination","Yes","COVID-19",-597.792830271646
50,90,90,"Moderate Elimination","Yes","COVID-19",-741.770653007552
75,90,90,"Moderate Elimination","Yes","COVID-19",-154.552924400196
90,90,90,"Moderate Elimination","Yes","COVID-19",-369.008218124509
50,50,60,"Aggressive Elimination","Yes","COVID-19",-529.154212865978
75,50,60,"Aggressive Elimination","Yes","COVID-19",-478.28439315781
90,50,60,"Aggressive Elimination","Yes","COVID-19",-389.557713828981
50,75,60,"Aggressive Elimination","Yes","COVID-19",79.2376595083624
75,75,60,"Aggressive Elimination","Yes","COVID-19",49.0908036474138
90,75,60,"Aggressive Elimination","Yes","COVID-19",-388.458576006815
50,90,60,"Aggressive Elimination","Yes","COVID-19",13.1215574685484
75,90,60,"Aggressive Elimination","Yes","COVID-19",-432.969649974257
90,90,60,"Aggressive Elimination","Yes","COVID-19",-511.626457050443
50,50,75,"Aggressive Elimination","Yes","COVID-19",-188.990898616612
75,50,75,"Aggressive Elimination","Yes","COVID-19",-214.061545860022
90,50,75,"Aggressive Elimination","Yes","COVID-19",-25.2497377339751
50,75,75,"Aggressive Elimination","Yes","COVID-19",-282.147686416283
75,75,75,"Aggressive Elimination","Yes","COVID-19",57.3873036075383
90,75,75,"Aggressive Elimination","Yes","COVID-19",-608.950238162652
50,90,75,"Aggressive Elimination","Yes","COVID-19",-776.130385184661
75,90,75,"Aggressive Elimination","Yes","COVID-19",19.7494137566536
90,90,75,"Aggressive Elimination","Yes","COVID-19",63.9283112715929
50,50,90,"Aggressive Elimination","Yes","COVID-19",-290.194603102282
75,50,90,"Aggressive Elimination","Yes","COVID-19",-641.743679251522
90,50,90,"Aggressive Elimination","Yes","COVID-19",148.436882114038
50,75,90,"Aggressive Elimination","Yes","COVID-19",-560.541753610596
75,75,90,"Aggressive Elimination","Yes","COVID-19",5.93015975318845
90,75,90,"Aggressive Elimination","Yes","COVID-19",195.795446215197
50,90,90,"Aggressive Elimination","Yes","COVID-19",-653.139523416758
75,90,90,"Aggressive Elimination","Yes","COVID-19",-208.027508063242
90,90,90,"Aggressive Elimination","Yes","COVID-19",-108.401769027114
50,50,60,"Loose Suppression","No","COVID-19",77.6113481726497
75,50,60,"Loose Suppression","No","COVID-19",-212.100948626176
90,50,60,"Loose Suppression","No","COVID-19",-573.098508827388
50,75,60,"Loose Suppression","No","COVID-19",-230.930016562343
75,75,60,"Loose Suppression","No","COVID-19",-732.980004930869
90,75,60,"Loose Suppression","No","COVID-19",-381.086660036817
50,90,60,"Loose Suppression","No","COVID-19",-561.510090669617
75,90,60,"Loose Suppression","No","COVID-19",2.22940584644671
90,90,60,"Loose Suppression","No","COVID-19",-513.98806408979
50,50,75,"Loose Suppression","No","COVID-19",-390.639240574092
75,50,75,"Loose Suppression","No","COVID-19",-381.511095631868
90,50,75,"Loose Suppression","No","COVID-19",-455.247665941715
50,75,75,"Loose Suppression","No","COVID-19",-59.2026882339269
75,75,75,"Loose Suppression","No","COVID-19",-428.053545719013
90,75,75,"Loose Suppression","No","COVID-19",-409.407645184547
50,90,75,"Loose Suppression","No","COVID-19",0.145395798608616
75,90,75,"Loose Suppression","No","COVID-19",31.2202347442507
90,90,75,"Loose Suppression","No","COVID-19",-465.385990869254
50,50,90,"Loose Suppression","No","COVID-19",-50.3208036068827
75,50,90,"Loose Suppression","No","COVID-19",-606.082051014528
90,50,90,"Loose Suppression","No","COVID-19",-631.220573978499
50,75,90,"Loose Suppression","No","COVID-19",199.814942944795
75,75,90,"Loose Suppression","No","COVID-19",-228.601580904797
90,75,90,"Loose Suppression","No","COVID-19",-632.406694535166
50,90,90,"Loose Suppression","No","COVID-19",-465.174389258027
75,90,90,"Loose Suppression","No","COVID-19",28.5181163810193
90,90,90,"Loose Suppression","No","COVID-19",-620.712095592171
50,50,60,"Tight Suppression","No","COVID-19",-129.146979609504
75,50,60,"Tight Suppression","No","COVID-19",-212.089242599905
90,50,60,"Tight Suppression","No","COVID-19",-117.829251056537
50,75,60,"Tight Suppression","No","COVID-19",-357.170295156539
75,75,60,"Tight Suppression","No","COVID-19",-489.482532441616
90,75,60,"Tight Suppression","No","COVID-19",-87.6680514309556
50,90,60,"Tight Suppression","No","COVID-19",-593.205101508647
75,90,60,"Tight Suppression","No","COVID-19",-202.682853862643
90,90,60,"Tight Suppression","No","COVID-19",-44.1041399724782
50,50,75,"Tight Suppression","No","COVID-19",-217.301281355321
75,50,75,"Tight Suppression","No","COVID-19",-591.154253995046
90,50,75,"Tight Suppression","No","COVID-19",-288.94020030275
50,75,75,"Tight Suppression","No","COVID-19",-30.0805156119168
75,75,75,"Tight Suppression","No","COVID-19",-155.695070233196
90,75,75,"Tight Suppression","No","COVID-19",-615.119281644002
50,90,75,"Tight Suppression","No","COVID-19",-509.054191363975
75,90,75,"Tight Suppression","No","COVID-19",-107.245726231486
90,90,75,"Tight Suppression","No","COVID-19",-679.858138971031
50,50,90,"Tight Suppression","No","COVID-19",131.331173749641
75,50,90,"Tight Suppression","No","COVID-19",-150.54862475954
90,50,90,"Tight Suppression","No","COVID-19",-311.141106951982
50,75,90,"Tight Suppression","No","COVID-19",44.7337285615503
75,75,90,"Tight Suppression","No","COVID-19",-250.884625082836
90,75,90,"Tight Suppression","No","COVID-19",-709.331796690822
50,90,90,"Tight Suppression","No","COVID-19",-88.6968837119639
75,90,90,"Tight Suppression","No","COVID-19",-349.063839716837
90,90,90,"Tight Suppression","No","COVID-19",-661.899238079786
50,50,60,"Moderate Elimination","No","COVID-19",-463.625143934041
75,50,60,"Moderate Elimination","No","COVID-19",-750.267913052812
90,50,60,"Moderate Elimination","No","COVID-19",-261.522262310609
50,75,60,"Moderate Elimination","No","COVID-19",-693.441487569362
75,75,60,"Moderate Elimination","No","COVID-19",-442.362589249387
90,75,60,"Moderate Elimination","No","COVID-19",103.540801024064
50,90,60,"Moderate Elimination","No","COVID-19",-51.4494881033898
75,90,60,"Moderate Elimination","No","COVID-19",56.955689843744
90,90,60,"Moderate Elimination","No","COVID-19",-490.722917206585
50,50,75,"Moderate Elimination","No","COVID-19",-389.844384929165
75,50,75,"Moderate Elimination","No","COVID-19",37.3463419266045
90,50,75,"Moderate Elimination","No","COVID-19",-292.776693077758
50,75,75,"Moderate Elimination","No","COVID-19",-761.791071575135
75,75,75,"Moderate Elimination","No","COVID-19",-179.935962613672
90,75,75,"Moderate Elimination","No","COVID-19",-774.557447945699
50,90,75,"Moderate Elimination","No","COVID-19",-206.872305087745
75,90,75,"Moderate Elimination","No","COVID-19",-324.877002462745
90,90,75,"Moderate Elimination","No","COVID-19",-552.456294605508
50,50,90,"Moderate Elimination","No","COVID-19",-371.538988966495
75,50,90,"Moderate Elimination","No","COVID-19",-749.837507214397
90,50,90,"Moderate Elimination","No","COVID-19",-746.474199648947
50,75,90,"Moderate Elimination","No","COVID-19",-43.6706437729299
75,75,90,"Moderate Elimination","No","COVID-19",-485.134584316984
90,75,90,"Moderate Elimination","No","COVID-19",-732.343669468537
50,90,90,"Moderate Elimination","No","COVID-19",-294.11872215569
75,90,90,"Moderate Elimination","No","COVID-19",66.0086258314549
90,90,90,"Moderate Elimination","No","COVID-19",-10.2428430225701
50,50,60,"Aggressive Elimination","No","COVID-19",-86.0910294111819
75,50,60,"Aggressive Elimination","No","COVID-19",-340.709277614951
90,50,60,"Aggressive Elimination","No","COVID-19",-637.188772857189
50,75,60,"Aggressive Elimination","No","COVID-19",-211.453701090068
75,75,60,"Aggressive Elimination","No","COVID-19",-158.240173663944
90,75,60,"Aggressive Elimination","No","COVID-19",-198.567940341309
50,90,60,"Aggressive Elimination","No","COVID-19",-617.017310298979
75,90,60,"Aggressive Elimination","No","COVID-19",180.057021835819
90,90,60,"Aggressive Elimination","No","COVID-19",-160.729437554255
50,50,75,"Aggressive Elimination","No","COVID-19",-93.2402018923313
75,50,75,"Aggressive Elimination","No","COVID-19",-399.493011832237
90,50,75,"Aggressive Elimination","No","COVID-19",-665.690277889371
50,75,75,"Aggressive Elimination","No","COVID-19",31.5680541563779
75,75,75,"Aggressive Elimination","No","COVID-19",-613.237539026886
90,75,75,"Aggressive Elimination","No","COVID-19",-780.437135789543
50,90,75,"Aggressive Elimination","No","COVID-19",-232.643648702651
75,90,75,"Aggressive Elimination","No","COVID-19",-660.512731829658
90,90,75,"Aggressive Elimination","No","COVID-19",147.752529056743
50,50,90,"Aggressive Elimination","No","COVID-19",-227.16059461236
75,50,90,"Aggressive Elimination","No","COVID-19",174.862220464274
90,50,90,"Aggressive Elimination","No","COVID-19",-452.306163450703
50,75,90,"Aggressive Elimination","No","COVID-19",-482.320458581671
75,75,90,"Aggressive Elimination","No","COVID-19",-520.129015622661
90,75,90,"Aggressive Elimination","No","COVID-19",-105.5075914599
50,90,90,"Aggressive Elimination","No","COVID-19",-457.885530730709
75,90,90,"Aggressive Elimination","No","COVID-19",-411.674360232428
90,90,90,"Aggressive Elimination","No","COVID-19",-179.638905171305
50,50,60,"Loose Suppression","Yes","Road Traffic Crash",-680.625494290143
75,50,60,"Loose Suppression","Yes","Road Traffic Crash",-257.378306658939
90,50,60,"Loose Suppression","Yes","Road Traffic Crash",-677.394670154899
50,75,60,"Loose Suppression","Yes","Road Traffic Crash",-146.876254770905
75,75,60,"Loose Suppression","Yes","Road Traffic Crash",138.24000377208
90,75,60,"Loose Suppression","Yes","Road Traffic Crash",160.950782056898
50,90,60,"Loose Suppression","Yes","Road Traffic Crash",-105.890583898872
75,90,60,"Loose Suppression","Yes","Road Traffic Crash",-790.025038598105
90,90,60,"Loose Suppression","Yes","Road Traffic Crash",-63.7688291724772
50,50,75,"Loose Suppression","Yes","Road Traffic Crash",-406.058572884649
75,50,75,"Loose Suppression","Yes","Road Traffic Crash",-497.323950007558
90,50,75,"Loose Suppression","Yes","Road Traffic Crash",-271.672031097114
50,75,75,"Loose Suppression","Yes","Road Traffic Crash",-364.478707499802
75,75,75,"Loose Suppression","Yes","Road Traffic Crash",43.1306139100343
90,75,75,"Loose Suppression","Yes","Road Traffic Crash",-736.029577627778
50,90,75,"Loose Suppression","Yes","Road Traffic Crash",40.2631555218249
75,90,75,"Loose Suppression","Yes","Road Traffic Crash",-274.605886498466
90,90,75,"Loose Suppression","Yes","Road Traffic Crash",99.4025473948568
50,50,90,"Loose Suppression","Yes","Road Traffic Crash",-457.531823962927
75,50,90,"Loose Suppression","Yes","Road Traffic Crash",-10.1750513538719
90,50,90,"Loose Suppression","Yes","Road Traffic Crash",-46.2728212121875
50,75,90,"Loose Suppression","Yes","Road Traffic Crash",-103.181122755632
75,75,90,"Loose Suppression","Yes","Road Traffic Crash",-758.184687886387
90,75,90,"Loose Suppression","Yes","Road Traffic Crash",-202.073571458459
50,90,90,"Loose Suppression","Yes","Road Traffic Crash",-585.545091144741
75,90,90,"Loose Suppression","Yes","Road Traffic Crash",-35.4692395310849
90,90,90,"Loose Suppression","Yes","Road Traffic Crash",-318.907823832706
50,50,60,"Tight Suppression","Yes","Road Traffic Crash",151.05041586794
75,50,60,"Tight Suppression","Yes","Road Traffic Crash",-423.406302649528
90,50,60,"Tight Suppression","Yes","Road Traffic Crash",-774.025945411995
50,75,60,"Tight Suppression","Yes","Road Traffic Crash",-104.475309094414
75,75,60,"Tight Suppression","Yes","Road Traffic Crash",137.063245801255
90,75,60,"Tight Suppression","Yes","Road Traffic Crash",-533.246297342703
50,90,60,"Tight Suppression","Yes","Road Traffic Crash",-523.079635994509
75,90,60,"Tight Suppression","Yes","Road Traffic Crash",-56.0596163384617
90,90,60,"Tight Suppression","Yes","Road Traffic Crash",-552.058631042019
50,50,75,"Tight Suppression","Yes","Road Traffic Crash",-780.233683483675
75,50,75,"Tight Suppression","Yes","Road Traffic Crash",-497.69164477475
90,50,75,"Tight Suppression","Yes","Road Traffic Crash",-565.182011993602
50,75,75,"Tight Suppression","Yes","Road Traffic Crash",-66.9977128971369
75,75,75,"Tight Suppression","Yes","Road Traffic Crash",-338.84574235417
90,75,75,"Tight Suppression","Yes","Road Traffic Crash",-709.102395642549
50,90,75,"Tight Suppression","Yes","Road Traffic Crash",82.6660830527544
75,90,75,"Tight Suppression","Yes","Road Traffic Crash",176.490035187453
90,90,75,"Tight Suppression","Yes","Road Traffic Crash",-746.170948212966
50,50,90,"Tight Suppression","Yes","Road Traffic Crash",-727.044566953555
75,50,90,"Tight Suppression","Yes","Road Traffic Crash",-602.130909403786
90,50,90,"Tight Suppression","Yes","Road Traffic Crash",-341.526272427291
50,75,90,"Tight Suppression","Yes","Road Traffic Crash",-171.050175977871
75,75,90,"Tight Suppression","Yes","Road Traffic Crash",99.0520490333437
90,75,90,"Tight Suppression","Yes","Road Traffic Crash",-760.063277278095
50,90,90,"Tight Suppression","Yes","Road Traffic Crash",-130.846001859754
75,90,90,"Tight Suppression","Yes","Road Traffic Crash",-645.907081151381
90,90,90,"Tight Suppression","Yes","Road Traffic Crash",-762.949100183323
50,50,60,"Moderate Elimination","Yes","Road Traffic Crash",-543.502099765465
75,50,60,"Moderate Elimination","Yes","Road Traffic Crash",-699.609106592834
90,50,60,"Moderate Elimination","Yes","Road Traffic Crash",167.895808396861
50,75,60,"Moderate Elimination","Yes","Road Traffic Crash",119.742272468284
75,75,60,"Moderate Elimination","Yes","Road Traffic Crash",-454.766634572297
90,75,60,"Moderate Elimination","Yes","Road Traffic Crash",-58.9469330850989
50,90,60,"Moderate Elimination","Yes","Road Traffic Crash",-634.514838410541
75,90,60,"Moderate Elimination","Yes","Road Traffic Crash",-542.010065820068
90,90,60,"Moderate Elimination","Yes","Road Traffic Crash",160.670713568106
50,50,75,"Moderate Elimination","Yes","Road Traffic Crash",-555.795832257718
75,50,75,"Moderate Elimination","Yes","Road Traffic Crash",-577.715242467821
90,50,75,"Moderate Elimination","Yes","Road Traffic Crash",-96.0929495748133
50,75,75,"Moderate Elimination","Yes","Road Traffic Crash",-315.164633980021
75,75,75,"Moderate Elimination","Yes","Road Traffic Crash",125.925173098221
90,75,75,"Moderate Elimination","Yes","Road Traffic Crash",-30.4682421963662
50,90,75,"Moderate Elimination","Yes","Road Traffic Crash",-344.858609791845
75,90,75,"Moderate Elimination","Yes","Road Traffic Crash",124.947338644415
90,90,75,"Moderate Elimination","Yes","Road Traffic Crash",-695.10844880715
50,50,90,"Moderate Elimination","Yes","Road Traffic Crash",-353.476401371881
75,50,90,"Moderate Elimination","Yes","Road Traffic Crash",44.7883853223174
90,50,90,"Moderate Elimination","Yes","Road Traffic Crash",-685.990421287715
50,75,90,"Moderate Elimination","Yes","Road Traffic Crash",15.0173251051455
75,75,90,"Moderate Elimination","Yes","Road Traffic Crash",18.666469771415
90,75,90,"Moderate Elimination","Yes","Road Traffic Crash",76.2044024188071
50,90,90,"Moderate Elimination","Yes","Road Traffic Crash",-101.739879650995
75,90,90,"Moderate Elimination","Yes","Road Traffic Crash",-359.8851791583
90,90,90,"Moderate Elimination","Yes","Road Traffic Crash",-511.957412771881
50,50,60,"Aggressive Elimination","Yes","Road Traffic Crash",189.10036473535
75,50,60,"Aggressive Elimination","Yes","Road Traffic Crash",-182.931304629892
90,50,60,"Aggressive Elimination","Yes","Road Traffic Crash",112.198418518528
50,75,60,"Aggressive Elimination","Yes","Road Traffic Crash",-719.608702417463
75,75,60,"Aggressive Elimination","Yes","Road Traffic Crash",39.8469155654311
90,75,60,"Aggressive Elimination","Yes","Road Traffic Crash",-243.649779073894
50,90,60,"Aggressive Elimination","Yes","Road Traffic Crash",138.72402375564
75,90,60,"Aggressive Elimination","Yes","Road Traffic Crash",-447.748178802431
90,90,60,"Aggressive Elimination","Yes","Road Traffic Crash",-788.558175275102
50,50,75,"Aggressive Elimination","Yes","Road Traffic Crash",-521.811764873564
75,50,75,"Aggressive Elimination","Yes","Road Traffic Crash",-206.141558894888
90,50,75,"Aggressive Elimination","Yes","Road Traffic Crash",97.5892013404518
50,75,75,"Aggressive Elimination","Yes","Road Traffic Crash",-90.7810371834785
75,75,75,"Aggressive Elimination","Yes","Road Traffic Crash",-698.728505475447
90,75,75,"Aggressive Elimination","Yes","Road Traffic Crash",-475.96311843954
50,90,75,"Aggressive Elimination","Yes","Road Traffic Crash",-444.173881970346
75,90,75,"Aggressive Elimination","Yes","Road Traffic Crash",-2.54395296797161
90,90,75,"Aggressive Elimination","Yes","Road Traffic Crash",-462.494668038562
50,50,90,"Aggressive Elimination","Yes","Road Traffic Crash",24.0884074475616
75,50,90,"Aggressive Elimination","Yes","Road Traffic Crash",-491.054248251021
90,50,90,"Aggressive Elimination","Yes","Road Traffic Crash",196.899602701887
50,75,90,"Aggressive Elimination","Yes","Road Traffic Crash",-204.738568002358
75,75,90,"Aggressive Elimination","Yes","Road Traffic Crash",-46.5226647909731
90,75,90,"Aggressive Elimination","Yes","Road Traffic Crash",-463.810209836811
50,90,90,"Aggressive Elimination","Yes","Road Traffic Crash",-515.751976240426
75,90,90,"Aggressive Elimination","Yes","Road Traffic Crash",-630.907203955576
90,90,90,"Aggressive Elimination","Yes","Road Traffic Crash",-281.030385009944
50,50,60,"Loose Suppression","No","Road Traffic Crash",-110.482728062198
75,50,60,"Loose Suppression","No","Road Traffic Crash",-268.354654265568
90,50,60,"Loose Suppression","No","Road Traffic Crash",151.687466818839
50,75,60,"Loose Suppression","No","Road Traffic Crash",15.1449623983353
75,75,60,"Loose Suppression","No","Road Traffic Crash",-75.6737479940057
90,75,60,"Loose Suppression","No","Road Traffic Crash",-347.089879168198
50,90,60,"Loose Suppression","No","Road Traffic Crash",-23.9740195218474
75,90,60,"Loose Suppression","No","Road Traffic Crash",-257.421620842069
90,90,60,"Loose Suppression","No","Road Traffic Crash",-528.699762839824
50,50,75,"Loose Suppression","No","Road Traffic Crash",199.644480645657
75,50,75,"Loose Suppression","No","Road Traffic Crash",-628.857242362574
90,50,75,"Loose Suppression","No","Road Traffic Crash",-779.738196823746
50,75,75,"Loose Suppression","No","Road Traffic Crash",-127.770462492481
75,75,75,"Loose Suppression","No","Road Traffic Crash",-298.821302317083
90,75,75,"Loose Suppression","No","Road Traffic Crash",-53.4270726609976
50,90,75,"Loose Suppression","No","Road Traffic Crash",-758.62067816779
75,90,75,"Loose Suppression","No","Road Traffic Crash",140.209362888709
90,90,75,"Loose Suppression","No","Road Traffic Crash",182.930090045556
50,50,90,"Loose Suppression","No","Road Traffic Crash",-729.231424350291
75,50,90,"Loose Suppression","No","Road Traffic Crash",-112.255971133709
90,50,90,"Loose Suppression","No","Road Traffic Crash",-550.087000895292
50,75,90,"Loose Suppression","No","Road Traffic Crash",-255.782228382304
75,75,90,"Loose Suppression","No","Road Traffic Crash",-96.1151446215809
90,75,90,"Loose Suppression","No","Road Traffic Crash",-493.31031688489
50,90,90,"Loose Suppression","No","Road Traffic Crash",-147.156150033698
75,90,90,"Loose Suppression","No","Road Traffic Crash",-61.2982268910855
90,90,90,"Loose Suppression","No","Road Traffic Crash",-685.037438711151
50,50,60,"Tight Suppression","No","Road Traffic Crash",-421.364078018814
75,50,60,"Tight Suppression","No","Road Traffic Crash",-458.687572227791
90,50,60,"Tight Suppression","No","Road Traffic Crash",-445.687152864412
50,75,60,"Tight Suppression","No","Road Traffic Crash",-183.519210154191
75,75,60,"Tight Suppression","No","Road Traffic Crash",-680.512709496543
90,75,60,"Tight Suppression","No","Road Traffic Crash",-194.324862165377
50,90,60,"Tight Suppression","No","Road Traffic Crash",153.329145675525
75,90,60,"Tight Suppression","No","Road Traffic Crash",-579.667907627299
90,90,60,"Tight Suppression","No","Road Traffic Crash",-534.215447911993
50,50,75,"Tight Suppression","No","Road Traffic Crash",-137.227551965043
75,50,75,"Tight Suppression","No","Road Traffic Crash",-710.937484586611
90,50,75,"Tight Suppression","No","Road Traffic Crash",-482.068293448538
50,75,75,"Tight Suppression","No","Road Traffic Crash",126.462806994095
75,75,75,"Tight Suppression","No","Road Traffic Crash",-711.755349952728
90,75,75,"Tight Suppression","No","Road Traffic Crash",-541.48037401028
50,90,75,"Tight Suppression","No","Road Traffic Crash",-325.58812033385
75,90,75,"Tight Suppression","No","Road Traffic Crash",-6.43446454778318
90,90,75,"Tight Suppression","No","Road Traffic Crash",-211.398187745363
50,50,90,"Tight Suppression","No","Road Traffic Crash",-505.681215971708
75,50,90,"Tight Suppression","No","Road Traffic Crash",-643.834961298853
90,50,90,"Tight Suppression","No","Road Traffic Crash",-362.258317135274
50,75,90,"Tight Suppression","No","Road Traffic Crash",176.373906712979
75,75,90,"Tight Suppression","No","Road Traffic Crash",-290.175687242299
90,75,90,"Tight Suppression","No","Road Traffic Crash",-776.717510726303
50,90,90,"Tight Suppression","No","Road Traffic Crash",-553.184475703165
75,90,90,"Tight Suppression","No","Road Traffic Crash",-492.277488298714
90,90,90,"Tight Suppression","No","Road Traffic Crash",-628.894188860431
50,50,60,"Moderate Elimination","No","Road Traffic Crash",-448.241747636348
75,50,60,"Moderate Elimination","No","Road Traffic Crash",-306.632596021518
90,50,60,"Moderate Elimination","No","Road Traffic Crash",128.891082759947
50,75,60,"Moderate Elimination","No","Road Traffic Crash",-545.661013992503
75,75,60,"Moderate Elimination","No","Road Traffic Crash",-431.254637381062
90,75,60,"Moderate Elimination","No","Road Traffic Crash",-268.39004335925
50,90,60,"Moderate Elimination","No","Road Traffic Crash",50.9190795011818
75,90,60,"Moderate Elimination","No","Road Traffic Crash",-542.910684319213
90,90,60,"Moderate Elimination","No","Road Traffic Crash",-307.707475218922
50,50,75,"Moderate Elimination","No","Road Traffic Crash",-315.130556654185
75,50,75,"Moderate Elimination","No","Road Traffic Crash",45.0878683943301
90,50,75,"Moderate Elimination","No","Road Traffic Crash",37.2355843894183
50,75,75,"Moderate Elimination","No","Road Traffic Crash",-68.1422522291542
75,75,75,"Moderate Elimination","No","Road Traffic Crash",-747.869456373155
90,75,75,"Moderate Elimination","No","Road Traffic Crash",-6.7794869653881
50,90,75,"Moderate Elimination","No","Road Traffic Crash",180.513273039833
75,90,75,"Moderate Elimination","No","Road Traffic Crash",-710.296346759424
90,90,75,"Moderate Elimination","No","Road Traffic Crash",-238.265038421378
50,50,90,"Moderate Elimination","No","Road Traffic Crash",165.858100214973
75,50,90,"Moderate Elimination","No","Road Traffic Crash",-281.807947158814
90,50,90,"Moderate Elimination","No","Road Traffic Crash",-543.425996508449
50,75,90,"Moderate Elimination","No","Road Traffic Crash",-714.90099998191
75,75,90,"Moderate Elimination","No","Road Traffic Crash",-270.201283227652
90,75,90,"Moderate Elimination","No","Road Traffic Crash",20.51382958889
